,f1,f2,f3,f4,f5,f6,Stage
155,3.8834,1.3688,0.36193,0.090314,0.36193,2.952e-06,1
156,4.4134,1.8288,0.37875,0.090959,0.37875,1.6311e-06,1
157,5.846,2.446,0.45407,0.10529,0.45407,1.9822e-06,1
158,4.3255,1.9049,0.38517,0.095361,0.38517,1.8835e-06,1
159,1.3287,0.54669,0.15226,0.040019,0.15226,1.2025e-06,1
160,5.079,2.2704,0.57961,0.16032,0.57961,6.1495e-06,1
161,5.6823,2.5548,0.507,0.12047,0.507,2.1113e-06,1
162,5.7065,2.6909,0.44818,0.09749,0.44818,1.8995e-06,1
163,4.7576,2.2584,0.44027,0.10288,0.44027,2.5313e-06,1
164,3.9977,1.8675,0.51939,0.15884,0.51939,5.3978e-06,1
165,4.966,2.4888,0.69657,0.26194,0.69657,1.3479e-05,1
166,5.7271,2.8357,0.51195,0.12021,0.51195,2.4019e-06,1
167,5.8416,2.5834,0.45401,0.09874,0.45401,1.8373e-06,1
168,4.9646,3.0808,0.49804,0.10289,0.49804,2.6847e-06,1
169,3.8168,2.6269,1.2009,0.43312,1.2009,2.8632e-05,1
170,4.5306,2.8277,0.75309,0.29685,0.75309,1.2123e-05,1
171,5.1151,3.4125,0.51388,0.11526,0.51388,2.5513e-06,1
172,5.5082,2.9757,0.48946,0.095677,0.48946,1.9626e-06,1
173,4.8312,3.2466,0.51969,0.098271,0.51969,2.5259e-06,1
174,2.0771,1.4823,0.32758,0.070706,0.32758,3.1971e-06,1
175,4.3223,3.4556,0.70664,0.18573,0.70664,6.1245e-06,1
176,4.7203,3.6454,0.62377,0.12837,0.62377,2.9273e-06,1
177,5.1208,3.9582,0.61632,0.11763,0.61632,2.5712e-06,1
178,5.3877,3.3525,0.58935,0.10024,0.58935,2.1169e-06,1
179,4.349,3.1832,0.53527,0.093171,0.53527,2.165e-06,1
180,4.0321,3.2487,0.64582,0.10488,0.64582,2.4967e-06,1
181,4.8305,3.482,0.8566,0.13494,0.8566,3.2069e-06,1
182,4.7636,4.2352,0.89634,0.1636,0.89634,3.4066e-06,1
183,4.843,3.8982,0.75486,0.12639,0.75486,2.6438e-06,1
